Model,Height,Width,abs_rel,sq_rel,rmse,rmse_log,a1,a2,a3,Best FPS,Avg FPS
mobilenet_ours,256,832,0.2890151397697895,2.5949162135336286,9.214926510493417,0.3937599876390468,0.5033718681591405,0.7940596678725095,0.9061143797018244,278.0262495028503,7.939237854129375
mobilenetv3_ours,256,832,0.15059812436444175,1.3678282557250439,5.6096760277426565,0.22775287229241736,0.8214327807231792,0.9357430679793638,0.9710187862299478,121.2086463992602,4.921606131036321
resnet18_ours_oneLayer_bn_dw_pw,256,832,0.11811327155535156,0.8729975893559039,4.865767790819685,0.19282145746896737,0.8703244583762644,0.9593855880212883,0.9821009214234628,266.79625977991225,7.78764760516112
resnet18_ours_oneLayer_skipSky_skyLoss,256,832,0.11341871056101757,0.8821320592010209,4.821070339792599,0.192059995523698,0.8794092448532885,0.9600519060352641,0.9815219157532135,323.43491671807527,8.942135014881744
resnet18_ours_oneLayer_bn_dw_pw_skipSky_skyLoss,256,832,0.11673622380626766,0.8780369136370237,4.8406767532165285,0.19205184961258936,0.871877462056115,0.959266259892503,0.9818604943380833,266.1698185048864,7.750286485732311
resnet18_ours_scratch,256,832,0.13153098634787577,1.069866000996686,5.209431524598274,0.21011137512313413,0.8494111435138674,0.9494261812573026,0.9769228522848805,298.1450099516633,8.338240036804113
resnet18_ours_bn_relu,256,832,0.11404146755934617,0.8881070960949107,4.821613583708425,0.1905677103607179,0.8811398528311175,0.9606869123646551,0.9815308730048382,271.05493085175135,7.999353230692238
resnet18_ours_relu,256,832,0.11421800092653701,0.9349597740913053,4.834808800107608,0.19062924326278557,0.882899376376307,0.9613385724383144,0.9814386093057216,299.8072909220872,8.469619413911463
resnet18_ours_fastdw,256,832,0.1167567215560584,0.9061566398958736,4.8669109266662876,0.19296585402880373,0.8756311349401056,0.9589930077818694,0.9813111174362656,228.6596521833942,7.072780395632857
resnet18_ours_oneLayer_fastdw_skipSky_skyLoss,256,832,0.11555982558551102,0.878365964007429,4.80010738417271,0.19096919961562286,0.8763738505829258,0.9604147118207301,0.9819278404964921,273.6545964637568,7.898099123908083
resnet18_mono_trt32,256,832,0.11492598809868397,0.904717388206096,4.805621883448432,0.19156687968601627,0.8799794762262627,0.960571633053533,0.9813049116960787,1754.938912133891,33.87404340697951
resnet50_ys_trt32,256,832,0.11222469828584615,0.8576753864938679,4.771355317432535,0.1879954832730283,0.8801754021520973,0.9606925119151449,0.9820388467364043,1378.7981591058515,30.766517995132826
mobilenetv2_mj_trt32,256,832,0.401749684209461,4.677754102085037,12.258376681650729,0.5901910362489938,0.3534211309466095,0.6310201534095152,0.7828208384317417,1494.7626514611547,32.47459017045195
resnet18_ys_trt32,256,832,0.11860628469367451,0.8968101859712704,4.842905475983832,0.19266232068368488,0.8715068591235995,0.9587958914716647,0.9819791796670305,1597.2216298552933,34.661012133391615
mobilenetv2_ys_trt32,256,832,0.1454302095560894,1.1547762293748056,5.425384823355818,0.2212776771320332,0.8183757795027902,0.9389985332810247,0.9751224533759193,1204.2216480045938,23.210327150765828
resnet18_mj_trt32,256,832,0.2436948662230924,2.11499821948398,8.828121356762294,0.34772112544417555,0.5630917279542875,0.8379066610391458,0.9291685956130461,2107.6904522613067,39.058290488983985
resnet18_ours_skipSky_trt32,256,832,0.11544016675443697,0.8441048032862042,4.795979605001562,0.18994559095891853,0.8752746637766979,0.9591928184989194,0.9818774415201188,1793.203933304831,41.483001253246634
resnet18_ours_skyLoss_trt32,256,832,0.11685613744292232,0.8766926843432477,4.853601504689139,0.19140649771309823,0.8713135692100541,0.9588496514014135,0.9821078162989582,1850.1561535068372,39.605312077740656
resnet18_ours_skipSky_skyLoss_trt32,256,832,0.11367598896474715,0.8209556425618304,4.74318135819442,0.1888152714738545,0.8759314682663323,0.9599828248639619,0.9825077533156873,1836.385288966725,40.78932904353525
resnet18_ours_trt32,256,832,0.11424816430812244,0.8268732108400234,4.777163963321292,0.1889933692491807,0.8735684203726994,0.9602033371191874,0.9827518304708076,1807.1107281344248,39.75503608980327
resnet18_ours_bn_trt32,256,832,0.114161897397238,0.8351037518964436,4.7908786998759725,0.18808436363807196,0.8713699754216682,0.9591841127038601,0.9827499535280735,1869.9527418635755,37.369772159068845
resnet18_ours_oneLayer_trt32,256,832,0.11607750668223825,0.8558478917568452,4.831292433923423,0.19174168726036503,0.8716928744540379,0.9588960711043857,0.9819774282623244,1829.975567190227,39.56842638552324
resnet18_ours_dw_trt32,256,832,0.11552086039586594,0.8544808332855083,4.855563309647603,0.19051753853580017,0.871694901382361,0.9585594648047822,0.9820268067677231,1171.9206482257614,21.537951991641407
resnet18_ours_pw_trt32,256,832,0.11472736431053242,0.8676729643319224,4.86818690022916,0.19067575609367582,0.8735259231059959,0.9591126414435988,0.9821816340330153,1733.8999586606035,35.01921659564718
resnet18_ours_skipAdd_trt32,256,832,0.11719575833791127,0.9089119216290916,4.888497498575892,0.19136586729731073,0.8725380230273093,0.9587935157686289,0.9819759743940898,1886.7764282501125,41.94777299671704
resnet18_ours_oneLayer_pw_trt32,256,832,0.11711000496123408,0.9062821472242709,4.916187112266398,0.192889335037475,0.8717820109894302,0.9580397737089348,0.9810930813577834,1837.9947414548642,38.601572571900675
resnet18_ours_oneLayer_dw_pw_trt32,256,832,0.11671813396761031,0.8852240565410645,4.8611244529357425,0.19034702702822268,0.8729180347306855,0.9591793659767095,0.982094137032915,1675.0415335463258,34.57642508630931
resnet18_ours_bn_dw_trt32,256,832,0.1183386528423561,0.8780796001190948,4.929960967136421,0.19158009472844248,0.8665978404971113,0.957831871256494,0.9823736954746981,1441.3415807560139,28.703994983809693
mobilenet_ours_trt32,256,832,0.26219251647142633,2.3810436087239593,8.964549363942194,0.3750613553494942,0.5604842320584607,0.8223113530157546,0.9130056408643625,1897.0167345092718,42.06420736755592
mobilenetv3_ours_trt32,256,832,0.1499001466518153,1.2319054967340302,5.529345983070144,0.22426577910802287,0.8125982227145484,0.9357193265302229,0.973281194421729,1125.3834182988999,20.29125382327694
resnet18_ours_oneLayer_bn_dw_pw_trt32,256,832,0.118213701993227,0.8308096586952421,4.840398853957397,0.19080982228989582,0.8663992600657624,0.9589962159960417,0.9829882398803633,1657.172659028052,35.94473501237203
resnet18_ours_oneLayer_skipSky_skyLoss_trt32,256,832,0.11529659708611763,0.8519798756137469,4.84753359202162,0.1915127138314579,0.8722589705985548,0.9585385176631457,0.9821234001545743,1943.6070435588508,39.463098119559945
resnet18_ours_oneLayer_bn_dw_pw_skipSky_skyLoss_trt32,256,832,0.11687098862002022,0.8376944615496282,4.819953481812388,0.18991416841317796,0.8680739754132938,0.958902140497449,0.9828181657748318,1723.9227291409782,35.56700094394663
resnet18_ours_scratch_trt32,256,832,0.13241866749405348,1.0172093088071863,5.2076412974676405,0.20833775573216345,0.8421447430612932,0.9483408849496859,0.9782459299683888,1755.673503557974,41.270776997612835
resnet18_ours_bn_relu_trt32,256,832,0.1159614515377254,0.8646548132878465,4.854660533079971,0.18997576768634308,0.8735812738928382,0.9592039131890105,0.9822661922863313,1889.3261261261262,44.54037333769389
resnet18_ours_relu_trt32,256,832,0.11487614282726215,0.8359289377008483,4.788502408750088,0.1893878796136533,0.8747805434837109,0.9595934795149687,0.9821816741650129,1852.60777385159,39.31368671044598
resnet18_ours_fastdw_trt32,256,832,0.11731956101729504,0.8643000338606034,4.875042595856501,0.19179877538335546,0.8702575713261483,0.9582076673776474,0.982099810848789,1559.8006693938266,35.221760613523685
resnet18_ours_oneLayer_fastdw_skipSky_skyLoss_trt32,256,832,0.11570219789101198,0.8432278408531309,4.8012523191047025,0.18956601843130982,0.8722528330427629,0.9595312388478612,0.9825473313682938,1888.475461503827,37.908020946352075
resnet18_mono_trt16,256,832,0.11489121816849264,0.9039802766021561,4.804016491261924,0.19154830224587552,0.8799826393071597,0.9605889089386117,0.9813130287794833,1716.163666121113,35.0277472121519
resnet50_ys_trt16,256,832,0.11210791435269064,0.8553985822170844,4.767659944560982,0.18797149148955405,0.8802073087381519,0.9606916240262298,0.9820428468069139,1265.6318648159324,26.29685999200139
mobilenetv2_mj_trt16,256,832,0.40173518828716304,4.677111064558221,12.257648577135981,0.5901316637373724,0.3534177799729094,0.6310606210091136,0.7828489370471354,1698.0987854251011,37.19922301473999
resnet18_ys_trt16,256,832,0.11855977087935039,0.8957203359074538,4.841278794078608,0.19261685056529051,0.8715176312080082,0.9588059274015103,0.9819886174084554,1459.9039331709016,29.983476364748967
mobilenetv2_ys_trt16,256,832,0.14554236916934743,1.156496268049032,5.42732664758882,0.22133094291476643,0.8182566411082709,0.9389802833846014,0.9751140962901126,1330.2581668252458,25.69571062945011
resnet18_mj_trt16,256,832,0.24373133261414134,2.1153481190588588,8.828753971386503,0.3477599629584481,0.5630042190753823,0.8378708236932041,0.9291508760173024,1955.3864801864802,49.0456359054165
resnet18_ours_skipSky_trt16,256,832,0.11545430590937093,0.8435608053117606,4.796381494578193,0.18998521384669514,0.875204811202186,0.9591820081892576,0.981877067555612,1821.234910985671,42.22226955902846
resnet18_ours_skyLoss_trt16,256,832,0.11682147958678016,0.8763405635119169,4.852679346350036,0.19137873241365214,0.8713492347026396,0.9588623931974093,0.9821074866372888,1769.748523206751,35.89623487635156
resnet18_ours_skipSky_skyLoss_trt16,256,832,0.11363039273164707,0.8197124847017196,4.740580591358447,0.18881071482917328,0.8759207499267677,0.9599890686185638,0.9825102528646646,1718.2728390004097,35.67693211219808
resnet18_ours_trt16,256,832,0.11418430948659371,0.8255006735730206,4.774983569573466,0.18897423139603614,0.8735855407803826,0.9602003774425094,0.9827597332756491,1774.2402707275803,40.053047426824
resnet18_ours_bn_trt16,256,832,0.11415816244363272,0.8352420283655183,4.790541749089486,0.18807883194007696,0.871362271209312,0.9591866519197997,0.9827471475849505,1793.203933304831,38.23606286639759
resnet18_ours_oneLayer_trt16,256,832,0.11604176747640715,0.856720651185923,4.834035164827596,0.19176044953797264,0.8717106690067218,0.9588661037653744,0.9819713588966537,1847.711013215859,40.55180355950616
resnet18_ours_dw_trt16,256,832,0.11552795364255543,0.8546591719219641,4.855858074028147,0.19052049165947024,0.8716883319555672,0.958562025497388,0.9820253983118374,1502.7961304192045,30.627821897380137
resnet18_ours_pw_trt16,256,832,0.11484430724998115,0.8695814775214817,4.870231817921402,0.1907043539661075,0.8734516285191188,0.9591234201819537,0.9821750602657829,1726.7616303005352,34.41328505625167
resnet18_ours_skipAdd_trt16,256,832,0.11718361236828471,0.9086640473866736,4.887986033855586,0.19135563832893432,0.8725548730252023,0.9587969898287897,0.9819851692067465,1760.832913518052,40.688750594079046
resnet18_ours_oneLayer_pw_trt16,256,832,0.11710177134278857,0.9061729274529808,4.916301953057134,0.19289497728092087,0.8717595543043095,0.9580421017141663,0.9810899246826655,1829.1774967291758,39.24328961441456
resnet18_ours_oneLayer_dw_pw_trt16,256,832,0.11672936797868914,0.8853459284885371,4.861158522506013,0.1903484407892528,0.8729504263376471,0.9591776348527795,0.9820911969018278,1630.1220365332297,31.789213584271796
resnet18_ours_bn_dw_trt16,256,832,0.11833141816290926,0.8779670397084276,4.929660914447078,0.19157265745627144,0.8666016409437006,0.957847286904056,0.9823770485670302,1520.7773749093546,31.045527588354076
mobilenet_ours_trt16,256,832,0.2620795495070549,2.3801651043306977,8.962126440092002,0.37492363131371254,0.5608476903597174,0.8224526239344735,0.9130447833479858,1632.0249027237355,33.73587898760888
mobilenetv3_ours_trt16,256,832,0.1499204827389724,1.2314302456088182,5.527621179947381,0.22427480239180617,0.8126116615960202,0.9357065300505866,0.9732795066770887,1146.6112629852378,21.383808917138264
resnet18_ours_oneLayer_bn_dw_pw_trt16,256,832,0.11822488694485155,0.8310361389856428,4.840607401801319,0.19081215824466866,0.8663954802033506,0.9589972836460012,0.9829912534571629,1691.9338442920532,37.53250507796096
resnet18_ours_oneLayer_skipSky_skyLoss_trt16,256,832,0.11525093347176246,0.8502161386215704,4.846602249778326,0.1914890510814433,0.8722146769195434,0.9585512698395625,0.9821507295957826,1714.0596648957908,41.0384683150383
resnet18_ours_oneLayer_bn_dw_pw_skipSky_skyLoss_trt16,256,832,0.11685723636614712,0.8375116973538139,4.819377205720762,0.18990652414420928,0.8680945863601176,0.9589025452849432,0.9828207055577697,1733.8999586606035,36.59105363492572
resnet18_ours_scratch_trt16,256,832,0.1323965480404143,1.0170109058533885,5.207484405386226,0.2083595872267418,0.8421179883005493,0.9483324953523732,0.978243904500364,1787.85336743393,42.62507644849009
resnet18_ours_bn_relu_trt16,256,832,0.1159687104609553,0.8647389990441939,4.854755877165746,0.18998518394816727,0.8735965988711453,0.9592018289010036,0.9822616113341298,1860.0017738359202,39.27721405379812
resnet18_ours_relu_trt16,256,832,0.1148402127283632,0.8352979591685525,4.78773277989419,0.1893790636206289,0.8747857328548685,0.9595996901416097,0.982182213095073,1876.6460850111857,44.471030975317156
resnet18_ours_fastdw_trt16,256,832,0.11730160825007957,0.8638856166618284,4.874401408767427,0.19179499607902004,0.8702776333283988,0.9582106132826603,0.9821053840164401,1642.2490211433046,35.841156838809674
resnet18_ours_oneLayer_fastdw_skipSky_skyLoss_trt16,256,832,0.1157109813077891,0.8434248622854266,4.801694913180692,0.1895707005386373,0.8722414352514242,0.9595285171813072,0.9825423167866115,1868.286859688196,38.09085117676262
